Type,beneficial_inst_P,neutral_inst_P,deleterious_inst_P,beneficial_inst_S,neutral_inst_S,deleterious_inst_S,beneficial_mean_P,neutral_mean_P,deleterious_mean_P,beneficial_mean_S,neutral_mean_S,deleterious_mean_S,dNdneutral_1,dNdneutral_2,dNdneutral_3,dNdneutral_4,dNdneutral_5,dNdneutral_6,dNdneutral_7,dNdneutral_8,dNdneutral_9,dNdneutral_10,dNdneutral_11,dNdneutral_12,dNdneutral_13,dNdneutral_14,dNdneutral_15,dNdneutral_16,dNdneutral_17,dNdneutral_18,dNdneutral_19,dNdneutral_20,dNdneutral_21,dNdneutral_22,dNdneutral_23,dNdneutral_24,dNdneutral_25,dNdneutral_26,dNdneutral_27,dNdneutral_28,dNdneutral_29,dNdneutral_30,pNpneutral_1,pNpneutral_2,pNpneutral_3,pNpneutral_4,pNpneutral_5,pNpneutral_6,pNpneutral_7,pNpneutral_8,pNpneutral_9,pNpneutral_10,pNpneutral_11,pNpneutral_12,pNpneutral_13,pNpneutral_14,pNpneutral_15,pNpneutral_16,pNpneutral_17,pNpneutral_18,pNpneutral_19,pNpneutral_20,pNpneutral_21,pNpneutral_22,pNpneutral_23,pNpneutral_24,pNpneutral_25,pNpneutral_26,pNpneutral_27,pNpneutral_28,pNpneutral_29,pNpneutral_30
AdapTrack_env20,0.019367928022412113,0.17875346842024864,0.8018786035573393,0.03328733212054936,0.8812411939541785,0.08547147392527223,0.01733000881247434,0.17875346842024864,0.8039165227672771,0.0467115286757169,0.8812411939541785,0.0720472773701047,0.11927083333333334,0.1078125,0.11875,0.10989583333333333,0.10729166666666666,0.12395833333333334,0.10989583333333333,0.11197916666666667,0.10885416666666667,0.10260416666666666,0.103125,0.1015625,0.11302083333333333,0.10989583333333333,0.134375,0.1140625,0.11354166666666667,0.10260416666666666,0.11041666666666666,0.1109375,0.10208333333333333,0.1171875,0.103125,0.10104166666666667,0.11302083333333333,0.10052083333333334,0.134375,0.10989583333333333,0.09375,0.10416666666666667,0.12635875,0.13463265625,0.11886765625,0.13099062499999997,0.1262609375,0.14119953125,0.128540703125,0.1283534375,0.12041515624999999,0.12244109375000001,0.12675140625,0.128543203125,0.127521875,0.1274375,0.13647484375000002,0.12067585937499999,0.13802796875,0.12456085937499999,0.139820390625,0.12609203125,0.14799296875,0.131847734375,0.12175882812499998,0.13346773437499998,0.11874046875,0.10597726562499998,0.12529765624999997,0.144553125,0.12805421875,0.140614765625
AdapTrack_int2,0.017204277691256924,0.18196452566806698,0.800831196640676,0.00202464329822604,0.9262127415771937,0.07176261512458024,0.0052827874816032665,0.18196452566806698,0.8127526868503299,0.0,0.9262127415771937,0.0737872584228063,0.10677083333333333,0.10677083333333333,0.1046875,0.10572916666666667,0.11927083333333334,0.10208333333333333,0.103125,0.11197916666666667,0.09270833333333334,0.10208333333333333,0.10520833333333333,0.10677083333333333,0.10364583333333334,0.11197916666666667,0.1109375,0.10885416666666667,0.10572916666666667,0.1125,0.096875,0.10416666666666667,0.09791666666666667,0.1125,0.1015625,0.11145833333333334,0.09322916666666667,0.09427083333333333,0.11354166666666667,0.11770833333333333,0.09739583333333333,0.1015625,0.13177828125,0.146089765625,0.14198359375,0.120455546875,0.13100125,0.13392656249999998,0.11987132812499998,0.14294875,0.141260859375,0.14408742187499998,0.13017320312499997,0.13250828125,0.13312804687500002,0.13917601562499998,0.11594507812499999,0.14810273437500002,0.10279148437499999,0.1382090625,0.12705640625,0.13069773437499999,0.13733390625,0.135987578125,0.14209226562500002,0.151537734375,0.13169328125,0.135587578125,0.122051640625,0.12889726562499998,0.128758125,0.12884828124999997
AdapTrack_int25,0.018072649948574458,0.17923457663490674,0.8026927734165187,0.0023298910062196027,0.9302292445886187,0.06744086440516153,0.013930001005345471,0.17923457663490674,0.8068354223597478,0.00015432098765432098,0.9302292445886187,0.06961643442372681,0.10989583333333333,0.10989583333333333,0.0921875,0.11875,0.10885416666666667,0.11927083333333334,0.10104166666666667,0.11041666666666666,0.11197916666666667,0.1015625,0.109375,0.1,0.10208333333333333,0.10104166666666667,0.1125,0.1015625,0.1125,0.115625,0.1078125,0.11197916666666667,0.11197916666666667,0.1140625,0.10572916666666667,0.10416666666666667,0.1046875,0.11510416666666666,0.10260416666666666,0.10208333333333333,0.12708333333333333,0.11458333333333333,0.127393828125,0.14320640624999997,0.12279820312499998,0.12535710937499997,0.11977867187499998,0.125255859375,0.12274546874999999,0.13159007812499998,0.13811421875000002,0.13906023437499998,0.11746265624999999,0.1347240625,0.12694859375,0.11885562499999999,0.11889703125,0.137070546875,0.13838093750000002,0.110109296875,0.12450007812500001,0.11873328125000002,0.118258359375,0.12890687499999998,0.123676015625,0.125226015625,0.12247960937499999,0.13462875000000002,0.12587828125,0.13289625,0.11014976562499998,0.12473624999999999
AdapTrack_int100,0.019993453137571067,0.17791009908452846,0.8020964477779006,0.144223010668389,0.7496536595101634,0.10612332982144769,0.02031725347370599,0.17791009908452846,0.8017726474417656,0.18602406131155616,0.7496536595101634,0.06432227917828051,0.12083333333333333,0.13333333333333333,0.13229166666666667,0.13958333333333334,0.13229166666666667,0.13229166666666667,0.13802083333333334,0.12239583333333333,0.13697916666666668,0.1453125,0.12552083333333333,0.13489583333333333,0.14010416666666667,0.11197916666666667,0.1296875,0.134375,0.13854166666666667,0.1578125,0.1328125,0.1328125,0.1453125,0.14895833333333333,0.12552083333333333,0.11979166666666667,0.13333333333333333,0.14270833333333333,0.1203125,0.13333333333333333,0.14166666666666666,0.13541666666666666,0.13641367187500003,0.1380715625,0.128456015625,0.1302828125,0.128568125,0.12411835937499997,0.126977109375,0.12801773437500003,0.128490703125,0.127671953125,0.143552109375,0.13553570312500002,0.14131554687499998,0.131905859375,0.14428789062499997,0.133289765625,0.132321640625,0.121442734375,0.14691203125,0.12744695312499998,0.12410335937499999,0.1327728125,0.11760453125,0.13650898437499998,0.13308429687499998,0.14446929687500001,0.133302734375,0.136105078125,0.12885593750000002,0.12159992187499999
AdapTrack_int200,0.021908854225310078,0.17737659015319304,0.8007145556214967,0.4840122477057028,0.393739023732966,0.1222487285613311,0.025510565413589367,0.17737659015319304,0.7971128444332177,0.5733895895945742,0.393739023732966,0.03287138667245968,0.2453125,0.234375,0.240625,0.253125,0.2708333333333333,0.26979166666666665,0.24947916666666667,0.2677083333333333,0.22239583333333332,0.26875,0.2296875,0.27447916666666666,0.2708333333333333,0.22239583333333332,0.246875,0.265625,0.24739583333333334,0.26875,0.25729166666666664,0.21979166666666666,0.23020833333333332,0.2713541666666667,0.2760416666666667,0.2171875,0.2833333333333333,0.29583333333333334,0.23125,0.234375,0.24270833333333333,0.26614583333333336,0.12683101562500002,0.130210703125,0.136497734375,0.123221640625,0.14714023437499998,0.135449921875,0.13297796874999998,0.13580281249999998,0.12111374999999999,0.11793640624999999,0.15356632812499998,0.14348624999999998,0.13911921875,0.13773648437500002,0.139234296875,0.140201171875,0.123375390625,0.13127828125000002,0.13659875000000002,0.145986796875,0.132280625,0.135295625,0.141979453125,0.152310859375,0.12700703124999999,0.11892578124999997,0.1433875,0.133267421875,0.13277320312500002,0.133198046875
AdapTrack_pop500,0.019251043581683423,0.1367992735780154,0.8439496828403014,0.024697833411410623,0.4178953876604781,0.5574067789281115,0.0177215170398898,0.1367992735780154,0.8454792093820949,0.011033426925763258,0.4178953876604781,0.5710711854137588,0.2421875,0.24947916666666667,0.24114583333333334,0.2671875,0.228125,0.23854166666666668,0.23854166666666668,0.23020833333333332,0.24375,0.24739583333333334,0.25104166666666666,0.2296875,0.234375,0.24114583333333334,0.24166666666666667,0.25885416666666666,0.23541666666666666,0.2520833333333333,0.24114583333333334,0.24583333333333332,0.25364583333333335,0.2359375,0.24375,0.2359375,0.23229166666666667,0.25364583333333335,0.23177083333333334,0.2375,0.2390625,0.2375,0.22912500000000002,0.4428750000000001,0.36775,0.44018750000000006,0.44221874999999994,0.35600000000000004,0.45275000000000004,0.32828125,0.2804687500000001,0.3158750000000001,0.4329062500000001,0.4644062500000001,0.35184375000000007,0.41700000000000004,0.5169687500000001,0.3484062500000001,0.28168750000000004,0.3442187500000001,0.32653125000000005,0.40653125000000007,0.3311875,0.4108125000000001,0.44403125000000004,0.3807500000000001,0.3588437500000001,0.37090625000000005,0.4457812500000001,0.37659375,0.36437500000000006,0.4440937500000001
AdapTrack_pop1000,0.021440787347420245,0.14446895031837972,0.8340902623342001,0.02137722681151238,0.5678889108340697,0.4107338623544178,0.018821238773900753,0.14446895031837972,0.8367098109077195,0.010563875887317364,0.5678889108340697,0.4215472132786128,0.18645833333333334,0.1671875,0.16302083333333334,0.165625,0.16354166666666667,0.17708333333333334,0.184375,0.16875,0.19583333333333333,0.17552083333333332,0.17864583333333334,0.16666666666666666,0.18072916666666666,0.17083333333333334,0.18541666666666667,0.18020833333333333,0.16875,0.18177083333333333,0.15885416666666666,0.17864583333333334,0.1875,0.16927083333333334,0.16666666666666666,0.16041666666666668,0.18072916666666666,0.17708333333333334,0.1734375,0.1765625,0.16302083333333334,0.17135416666666667,0.31585156250000007,0.30828906250000004,0.2568046875,0.25860156250000005,0.28107031250000003,0.346703125,0.258328125,0.207640625,0.26027343750000004,0.26104687500000007,0.2988203125000001,0.2786484375,0.17415625000000004,0.23151562500000003,0.32166406250000007,0.28841406250000007,0.313328125,0.21148437500000003,0.31615624999999997,0.2710546875,0.21351562500000001,0.34225000000000005,0.2970078125,0.257546875,0.26785156250000003,0.2377421875,0.2198046875,0.33280468750000003,0.2623515625000001,0.345015625
AdapTrack_pop5000,0.019319196168538864,0.17044277913742267,0.8102380246940384,0.010318279148152117,0.855618893739536,0.13406282711231196,0.01678941123280014,0.17044277913742267,0.8127678096297772,0.010727567630726466,0.855618893739536,0.13365353862973758,0.11041666666666666,0.10572916666666667,0.1140625,0.12916666666666668,0.12552083333333333,0.103125,0.115625,0.10833333333333334,0.12239583333333333,0.11770833333333333,0.121875,0.10833333333333334,0.10989583333333333,0.11354166666666667,0.12291666666666666,0.10729166666666666,0.10520833333333333,0.12291666666666666,0.11354166666666667,0.11145833333333334,0.10625,0.10833333333333334,0.10833333333333334,0.121875,0.11354166666666667,0.121875,0.10572916666666667,0.12760416666666666,0.11927083333333334,0.11614583333333334,0.171828125,0.12752687499999998,0.1577440625,0.15977156250000002,0.1372825,0.16467375,0.1381509375,0.1363,0.1501684375,0.1546453125,0.14137593749999997,0.15822281249999998,0.15797656249999997,0.1736634375,0.1566140625,0.133510625,0.152535625,0.1386234375,0.1266671875,0.1637709375,0.153705625,0.149401875,0.16635343749999998,0.1492346875,0.14212624999999998,0.1371446875,0.1424415625,0.1365821875,0.14374031250000002,0.161748125
AdapTrack_pop10000,0.018871421716105466,0.18002831340277486,0.8011002648811196,0.012693842901719137,0.9075248257759808,0.07978133132230006,0.016603254010054705,0.18002831340277486,0.8033684325871704,0.015785401608898023,0.9075248257759808,0.07668977261512118,0.1078125,0.09895833333333333,0.10208333333333333,0.11770833333333333,0.09635416666666667,0.1078125,0.121875,0.1109375,0.09427083333333333,0.11197916666666667,0.1109375,0.10364583333333334,0.11770833333333333,0.11145833333333334,0.1078125,0.10885416666666667,0.11666666666666667,0.1046875,0.10364583333333334,0.10625,0.12135416666666667,0.09895833333333333,0.10989583333333333,0.10989583333333333,0.11510416666666666,0.10885416666666667,0.09583333333333334,0.10677083333333333,0.103125,0.10416666666666667,0.11764296875,0.12279015625,0.12624734375,0.12209039062499998,0.140765859375,0.13979539062499996,0.14569546875,0.125398984375,0.11850749999999999,0.11837968750000001,0.1399953125,0.11929562499999999,0.12618078124999998,0.118717890625,0.13559796875000002,0.13081523437499998,0.11719906249999998,0.12186749999999999,0.13496117187499998,0.120245703125,0.13502945312499998,0.12661257812499999,0.1322909375,0.11421875,0.124139296875,0.147525546875,0.12942234375,0.1350715625,0.1154990625,0.14061796875
AdapTrack_pop50000,0.017995168546755067,0.19897805794097503,0.7830267735122701,0.02497027616643649,0.9550431276937914,0.019986596139771974,0.015987634526617542,0.19897805794097503,0.7850343075324077,0.03413005619625294,0.9550431276937914,0.010826816109955522,0.08854166666666667,0.084375,0.0859375,0.09479166666666666,0.09895833333333333,0.07864583333333333,0.08333333333333333,0.09791666666666667,0.0828125,0.08333333333333333,0.096875,0.0828125,0.08072916666666667,0.09895833333333333,0.08177083333333333,0.09166666666666666,0.08802083333333334,0.07916666666666666,0.096875,0.09166666666666666,0.09375,0.09583333333333334,0.09270833333333334,0.08385416666666666,0.08333333333333333,0.1015625,0.09895833333333333,0.090625,0.09895833333333333,0.08385416666666666,0.09888834374999998,0.098430225,0.10211286875,0.10040224062499999,0.09917721562499998,0.09959256562499999,0.100010353125,0.112768178125,0.09620034687500001,0.10914808125,0.1021150625,0.104777565625,0.10436125,0.10569125312500001,0.09810675624999998,0.10469278124999999,0.10244869999999999,0.09717305312499999,0.09867427187499998,0.10823902812499998,0.10061064062499998,0.10252554374999999,0.098346809375,0.103287496875,0.102471275,0.09830781875000001,0.10352055937500002,0.0997828125,0.10378439375,0.10964268125
